Year,Month,Day,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude
2015,1,2,Weekday,200,1-Car,No injury,RAN OFF ROAD RIGHT,E 14TH,39.17600327,-86.53063151
2015,1,2,Weekday,200,2-Car,No injury,UNSAFE LANE MOVEMENT,JORDAN & THIRD,39.16427532,-86.51640856
2015,1,1,Weekend,0,1-Car,No injury,ANIMAL/OBJECT IN ROADWAY,S ROCKPORT & W MAY,39.093344,-86.5868
2015,1,6,Weekend,2200,1-Car,functional,RAN OFF ROAD RIGHT,ANNE & STRAIN RIDGE,39.04934026,-86.51109208
2015,1,7,Weekend,2300,1-Car,No injury,RAN OFF ROAD RIGHT,E WINDEMERE DR,39.164032,-86.570272
2015,1,2,Weekday,300,3+ Cars,No injury,UNSAFE SPEED,E 13TH & INDIANA,39.175504,-86.527104
2015,1,2,Weekday,1000,1-Car,No injury,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,WEST 2ND,39.16122743,-86.51884571
2015,1,5,Weekday,700,1-Car,No injury,RAN OFF ROAD RIGHT,W BEECH & W WOODLAND,39.208544,-86.591504
2015,1,2,Weekday,1500,2-Car,functional,FAILURE TO YIELD RIGHT OF WAY,W SR 45,39.2512,-86.652504
2015,1,2,Weekday,1700,2-Car,No injury,FOLLOWING TOO CLOSELY,SR37S & W VERNAL,39.17662048,-86.56252288
2015,1,2,Weekday,1600,2-Car,No injury,FOLLOWING TOO CLOSELY,BLOOMFIELD & LANDMARK,39.15993981,-86.55382007
2015,1,3,Weekday,1800,2-Car,No injury,DISREGARD SIGNAL/REG SIGN,SR37S & VICTOR,39.105552,-86.551104
2015,1,3,Weekday,0,2-Car,No injury,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,OLD STATE ROAD 37 & ORCHARD,39.11584,-86.5312
2015,1,1,Weekend,900,1-Car,non-funcitonal,SPEED TOO FAST FOR WEATHER CONDITIONS,FRIENDSHIP & SR46,39.15149145,-86.40317983
2015,1,1,Weekend,1300,2-Car,No injury,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SO KINGSTON,39.16742706,-86.49314117
2015,1,6,Weekday,1000,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,7TH & GRANT,39.16864,-86.529696
2015,1,7,Weekend,1500,2-Car,No injury,UNSAFE LANE MOVEMENT,BLOOMFIELD & CORY,39.157248,-86.559792
2015,1,7,Weekend,1800,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,KIRKWOOD & MADISON,39.166656,-86.537296
2015,1,7,Weekend,1900,2-Car,No injury,UNSAFE BACKING,S WALNUT,39.14705763,-86.53257665
2015,1,7,Weekend,2300,1-Car,No injury,LEFT OF CENTER,SR37S & WAYSIDE,39.10921097,-86.53382873
2015,1,6,Weekday,1300,2-Car,No injury,IMPROPER LANE USAGE,VERNAL,39.176544,-86.5624
2015,2,1,Weekend,100,1-Car,functional,RAN OFF ROAD RIGHT,JEFFERSON & TENTH,39.17145984,-86.50680459
2015,1,7,Weekend,1700,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,9TH & COLLEGE,39.170544,-86.534768
2015,2,1,Weekend,1100,2-Car,No injury,UNSAFE BACKING,NORTH WALNUT,39.19396833,-86.53335146
2015,1,7,Weekend,1900,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,EAST RHORER & SOUTH WALNUT STREET,39.12144,-86.526496
2015,2,1,Weekend,1500,2-Car,non-funcitonal,IMPROPER TURNING,ATWATER & JORDAN,39.163168,-86.516384
2015,2,1,Weekend,1800,1-Car,No injury,IMPROPER TURNING,SR45E,39.21936967,-86.44920774
2015,1,7,Weekend,1800,1-Car,non-funcitonal,RAN OFF ROAD RIGHT,HARRODSBURG & W POPCORN,38.85405138,-86.54503986
2015,1,7,Weekend,300,1-Car,No injury,DRIVER ASLEEP OR FATIGUED,E CHAMBERS & SR37,39.30651541,-86.51481628
2015,2,2,Weekday,900,2-Car,No injury,FOLLOWING TOO CLOSELY,1425 S CURRY & GIFFORD,39.156896,-86.582704
2015,2,2,Weekday,1000,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,BUICK CADILLAC & COLLEGE MALL,39.15816,-86.497792
2015,2,2,Weekday,1100,3+ Cars,No injury,FOLLOWING TOO CLOSELY,SARE & SOUTH MEADOW,0,0
2015,2,2,Weekday,900,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,E COVENANTER & S CLARIZZ,39.15462032,-86.49176401
2015,2,2,Weekday,1200,2-Car,No injury,FOLLOWING TOO CLOSELY,11TH & VERNAL,39.17323818,-86.55512325
2015,2,2,Weekday,1500,2-Car,No injury,FOLLOWING TOO CLOSELY,LIBERTY & THIRD,0,0
2015,2,2,Weekday,1500,2-Car,No injury,FAILURE TO YIELD RIGHT OF WAY,2ND & LINCOLN,39.16144,-86.531056
2015,2,2,Weekday,1100,2-Car,non-funcitonal,FAILURE TO YIELD RIGHT OF WAY,ATWATER & HAWTHORNE,39.16309007,-86.52020998
2015,2,3,Weekday,900,2-Car,No injury,FOLLOWING TOO CLOSELY,KIMBLE & W 3RD,39.16464,-86.568
2015,2,3,Weekday,900,2-Car,No injury,FOLLOWING TOO CLOSELY,E WINSLOW & S WALNUT,39.136144,-86.528688
2015,2,3,Weekday,900,2-Car,No injury,VIEW OBSTRUCTED,SOUTH MULLER,39.16180998,-86.56743228
2015,2,3,Weekday,1400,2-Car,functional,FOLLOWING TOO CLOSELY,CONSTITUTION & LIBERTY,39.149552,-86.575936
2015,2,3,Weekday,1500,2-Car,No injury,UNSAFE BACKING,S COLLEGE MALL,39.16394547,-86.49833535
2015,2,3,Weekday,1600,2-Car,No injury,IMPROPER TURNING,10TH & UNION,39.171472,-86.509376
